chart,Time,close,num,imacd,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.07.17 01:00:00,1.12102,430,-0.001302939,0,,0,0
EURUSD,2019.07.17 00:00:00,1.12088,431,-0.001350097,0,,2.00E-05,0.00026
EURUSD,2019.07.16 23:00:00,1.1209,432,-0.001376395,0.00028,,0,0
EURUSD,2019.07.16 22:00:00,1.12085,433,-0.001391977,0.00021,,0,0
EURUSD,2019.07.16 21:00:00,1.12061,434,-0.001386528,0,,0.00046,0.00012
EURUSD,2019.07.16 20:00:00,1.12097,435,-0.001334969,0,,0.00072,0.00076
EURUSD,2019.07.16 19:00:00,1.12118,436,-0.001286398,0.00021,,0,0
EURUSD,2019.07.16 18:00:00,1.12109,437,-0.001227074,0,,1.00E-05,4.00E-05
EURUSD,2019.07.16 17:00:00,1.12234,438,-0.001124343,0.00105,,0,0
EURUSD,2019.07.16 16:00:00,1.12177,439,-0.001104139,0,,0.00061,0.00027
EURUSD,2019.07.16 15:00:00,1.12189,440,-0.001004256,0,,0.00103,0.00016
EURUSD,2019.07.16 14:00:00,1.12213,441,-0.000874379,0,,0.00023,0.00028
EURUSD,2019.07.16 13:00:00,1.12229,442,-0.000720327,0,,0.00057,0.00013
EURUSD,2019.07.16 12:00:00,1.12314,443,-0.000529514,0,,6.00E-05,9.00E-05
EURUSD,2019.07.16 11:00:00,1.12443,444,-0.00036481,0,,0.0009,6.00E-05
EURUSD,2019.07.16 10:00:00,1.12482,445,-0.000280628,0,,0.00034,0.00019
EURUSD,2019.07.16 09:00:00,1.12558,446,-0.000208808,0,,0.00028,0.00035
EURUSD,2019.07.16 08:00:00,1.12579,447,-0.000191484,0,,6.00E-05,9.00E-05
EURUSD,2019.07.16 07:00:00,1.12594,448,-0.000187969,0.00011,,0,0
EURUSD,2019.07.16 06:00:00,1.12593,449,-0.000196021,0,,3.00E-05,8.00E-05
EURUSD,2019.07.16 05:00:00,1.12622,450,-0.000202429,0.00013,,0,0
EURUSD,2019.07.16 04:00:00,1.1258,451,-0.000237191,0.00031,,0,0
EURUSD,2019.07.16 03:00:00,1.12578,452,-0.000235347,0,,8.00E-05,0.00032
EURUSD,2019.07.16 02:00:00,1.12593,453,-0.000227533,0,,0,1.00E-04
EURUSD,2019.07.16 01:00:00,1.12605,454,-0.000229522,6.00E-05,,0,0
EURUSD,2019.07.16 00:00:00,1.12601,455,-0.000240941,2.00E-05,,0,0
EURUSD,2019.07.15 23:00:00,1.12567,456,-0.000247938,0,,0.00012,0.00013
EURUSD,2019.07.15 22:00:00,1.12564,457,-0.000218645,0,,9.00E-05,4.00E-05
EURUSD,2019.07.15 21:00:00,1.12584,458,-0.000175021,4.00E-05,,0,0
EURUSD,2019.07.15 20:00:00,1.12562,459,-0.00013716,0,,0.00027,4.00E-05
EURUSD,2019.07.15 19:00:00,1.12587,460,-6.44E-05,0.0001,,0,0
EURUSD,2019.07.15 18:00:00,1.12584,461,3.86E-06,0,,0.00054,9.00E-05
EURUSD,2019.07.15 17:00:00,1.12612,462,9.40E-05,0,,0.00057,1.00E-05
EURUSD,2019.07.15 16:00:00,1.1267,463,0.000179255,0.00029,,0,0
EURUSD,2019.07.15 15:00:00,1.12651,464,0.000226364,9.00E-05,,0,0
EURUSD,2019.07.15 14:00:00,1.12628,465,0.000302544,0,,0.00019,0
EURUSD,2019.07.15 13:00:00,1.12773,466,0.000418796,0,,5.00E-05,0.00049
EURUSD,2019.07.15 12:00:00,1.12785,467,0.000413447,0.00038,,0,0
EURUSD,2019.07.15 11:00:00,1.12723,468,0.000388388,0,,0.00031,4.00E-05
EURUSD,2019.07.15 10:00:00,1.12798,469,0.000413881,0.00037,,0,0
EURUSD,2019.07.15 09:00:00,1.12746,470,0.000364036,0.00022,,0,0
EURUSD,2019.07.15 08:00:00,1.12726,471,0.000348067,0.00022,,0,0
EURUSD,2019.07.15 07:00:00,1.12717,472,0.000342985,0,,0.00038,0.00021
EURUSD,2019.07.15 06:00:00,1.12718,473,0.000340673,0.00064,,0,0
